pre_corridor_id,post_corridor_id,metric,pre_value,post_value
Rhode Island Ave / NE,Rhode Island Ave / NE,Mean Trips,236.61379310344827,214.66153846153847
Skyland / Barry Farm,Skyland / Barry Farm,Mean Trips,97.875,133.6769230769231
Southern Av / Anacostia,Southern Av / Anacostia,Mean Trips,200.16551724137932,103.93846153846154
U St,U St,Mean Trips,409.1034482758621,351.1384615384615
Upper NW,Upper NW,Mean Trips,219.61111111111111,212.33846153846153
Wisconsin Ave,Wisconsin Ave,Mean Trips,313.6965517241379,313.87692307692305
11 St / New Hampshire,11 St / New Hampshire,Median Trips,212.0,122.0
14th St,14th St,Median Trips,389.0,384.0
16th St,16th St,Median Trips,414.0,417.0
18th St NE,18th St NE,Median Trips,274.0,88.0
5th St NW,5th St NW,Median Trips,110.0,126.0
Alabama Ave,Alabama Ave,Median Trips,602.0,307.0
Bladensburg,Bladensburg,Median Trips,229.0,225.0
Connecticut Ave,Connecticut Ave,Median Trips,235.0,132.0
Foggy Bottom / Mt Pleasant / Brookland,Foggy Bottom / Mt Pleasant / Brookland,Median Trips,550.0,346.0
Georgetown / LeDroit Park,Georgetown / LeDroit Park,Median Trips,77.0,77.0
Georgia Ave,Georgia Ave,Median Trips,461.0,392.0
H St / Benning Rd / D St,H St / Benning Rd / D St,Median Trips,440.0,471.0
Irving / Michigan,Irving / Michigan,Median Trips,330.0,288.0
K St / Ivy City,K St / Ivy City,Median Trips,190.0,109.0
Kansas / Eastern,Kansas / Eastern,Median Trips,43.0,51.0
MLK Ave / 4 St SE,MLK Ave / 4 St SE,Median Trips,438.0,322.0
MLK Ave / Bellevue,MLK Ave / Bellevue,Median Trips,573.0,255.0
MacArthur Blvd,MacArthur Blvd,Median Trips,110.0,100.0
Maryland Ave,Maryland Ave,Median Trips,77.0,77.0
Massachusetts Ave,Massachusetts Ave,Median Trips,270.0,193.0
Minnesota Ave / Eastern,Minnesota Ave / Eastern,Median Trips,572.0,518.0
Minnesota Ave / Pennsylvania Ave,Minnesota Ave / Pennsylvania Ave,Median Trips,198.0,133.0
N Capitol St,N Capitol St,Median Trips,321.0,176.0
Naylor Rd - Shepherd Pkwy,Naylor Rd - Shepherd Pkwy,Median Trips,307.0,117.0
Pennsylvania Ave,Pennsylvania Ave,Median Trips,264.0,274.0
Rhode Island Ave / NE,Rhode Island Ave / NE,Median Trips,243.0,218.0
Skyland / Barry Farm,Skyland / Barry Farm,Median Trips,99.0,134.0
Southern Av / Anacostia,Southern Av / Anacostia,Median Trips,202.0,104.0
U St,U St,Median Trips,417.0,353.0
Upper NW,Upper NW,Median Trips,226.0,218.0
Wisconsin Ave,Wisconsin Ave,Median Trips,317.0,316.0
