pre_route_id,post_route_id,metric,pre_value,post_value,corridor
W3,C27,Mean Headway (Minutes),20.38360450563204,17.622710622710624,Naylor Rd - Shepherd Pkwy
W3,C29,Mean Headway (Minutes),20.38360450563204,20.231648351648353,Southern Av / Anacostia
W4,C21,Mean Headway (Minutes),11.525297619047617,10.916683887882812,Alabama Ave
W4,C23,Mean Headway (Minutes),11.525297619047617,29.168199554069115,Alabama Ave
W5,C21,Mean Headway (Minutes),20.07692307692308,10.916683887882812,Alabama Ave
W6,C23,Mean Headway (Minutes),21.562233589087807,29.168199554069115,Alabama Ave
W6,C25,Mean Headway (Minutes),21.562233589087807,30.064258639910815,Skyland / Barry Farm
W6,C26,Mean Headway (Minutes),21.562233589087807,30.126350245499182,Skyland / Barry Farm
W6,C29,Mean Headway (Minutes),21.562233589087807,20.231648351648353,Southern Av / Anacostia
W8,C23,Mean Headway (Minutes),21.66353754940711,29.168199554069115,Alabama Ave
W8,C25,Mean Headway (Minutes),21.66353754940711,30.064258639910815,Skyland / Barry Farm
W8,C26,Mean Headway (Minutes),21.66353754940711,30.126350245499182,Skyland / Barry Farm
W8,C29,Mean Headway (Minutes),21.66353754940711,20.231648351648353,Southern Av / Anacostia
X2,C57,Mean Headway (Minutes),10.773280011809566,69.0,
X2,D20,Mean Headway (Minutes),10.773280011809566,9.959676852827538,H St / Benning Rd / D St
X8,C43,Mean Headway (Minutes),25.898809523809522,25.96483516483516,Maryland Ave
X9,C57,Mean Headway (Minutes),15.386363636363637,69.0,
X9,D2X,Mean Headway (Minutes),15.386363636363637,15.0,H St / Benning Rd / D St
31,D82,Median Headway (Minutes),32.095238095238095,33.575,Wisconsin Ave
32,D10,Median Headway (Minutes),16.951807228915662,17.142857142857146,Pennsylvania Ave
33,D80,Median Headway (Minutes),8.541666666666666,8.626506024096386,Wisconsin Ave
36,D1X,Median Headway (Minutes),19.6056338028169,20.0,Pennsylvania Ave
42,D70,Median Headway (Minutes),22.46774193548387,16.30681818181818,Connecticut Ave
42,D72,Median Headway (Minutes),22.46774193548387,9.47682119205298,Foggy Bottom / Mt Pleasant / Brookland
42,D74,Median Headway (Minutes),22.46774193548387,16.744186046511626,Foggy Bottom / Mt Pleasant / Brookland
43,D72,Median Headway (Minutes),21.84375,9.47682119205298,Foggy Bottom / Mt Pleasant / Brookland
43,D74,Median Headway (Minutes),21.84375,16.744186046511626,Foggy Bottom / Mt Pleasant / Brookland
52,D50,Median Headway (Minutes),12.241379310344827,12.267241379310343,14th St
54,D5X,Median Headway (Minutes),12.053097345132745,9.61904761904762,14th St
59,D5X,Median Headway (Minutes),39.29411764705882,9.61904761904762,14th St
60,D44,Median Headway (Minutes),35.53846153846154,16.04494382022472,11 St / New Hampshire
62,C75,Median Headway (Minutes),29.666666666666668,17.142857142857146,5th St NW
63,C75,Median Headway (Minutes),33.45,17.142857142857146,5th St NW
63,D44,Median Headway (Minutes),33.45,16.04494382022472,11 St / New Hampshire
64,D44,Median Headway (Minutes),19.186666666666667,16.04494382022472,11 St / New Hampshire
70,D40,Median Headway (Minutes),11.900826446280991,11.900826446280991,Georgia Ave
74,C55,Median Headway (Minutes),31.38636363636364,15.319148936170214,
74,D40,Median Headway (Minutes),31.38636363636364,11.900826446280991,Georgia Ave
79,D4X,Median Headway (Minutes),10.260869565217392,10.99236641221374,Georgia Ave
80,D30,Median Headway (Minutes),11.966101694915254,14.96875,N Capitol St
90,C51,Median Headway (Minutes),15.784090909090908,20.0,U St
90,C53,Median Headway (Minutes),15.784090909090908,9.6,U St
92,C51,Median Headway (Minutes),12.03448275862069,20.0,U St
92,C53,Median Headway (Minutes),12.03448275862069,9.6,U St
96,C51,Median Headway (Minutes),23.27868852459017,20.0,U St
A2,C11,Median Headway (Minutes),14.292929292929294,19.95774647887324,MLK Ave / Bellevue
A2,C13,Median Headway (Minutes),14.292929292929294,12.0,MLK Ave / 4 St SE
A2,C15,Median Headway (Minutes),14.292929292929294,17.60493827160494,MLK Ave / 4 St SE
A2,C17,Median Headway (Minutes),14.292929292929294,18.037974683544306,MLK Ave / Bellevue
A31,C31,Median Headway (Minutes),,9.62162162162162,Minnesota Ave / Eastern
A4,C11,Median Headway (Minutes),15.764044943820226,19.95774647887324,MLK Ave / Bellevue
A4,C17,Median Headway (Minutes),15.764044943820226,18.037974683544306,MLK Ave / Bellevue
A4,C27,Median Headway (Minutes),15.764044943820226,17.023809523809526,Naylor Rd - Shepherd Pkwy
A6,C11,Median Headway (Minutes),16.25287356321839,19.95774647887324,MLK Ave / Bellevue
A6,C13,Median Headway (Minutes),16.25287356321839,12.0,MLK Ave / 4 St SE
A6,C15,Median Headway (Minutes),16.25287356321839,17.60493827160494,MLK Ave / 4 St SE
A6,C17,Median Headway (Minutes),16.25287356321839,18.037974683544306,MLK Ave / Bellevue
A8,C11,Median Headway (Minutes),14.926315789473684,19.95774647887324,MLK Ave / Bellevue
A8,C13,Median Headway (Minutes),14.926315789473684,12.0,MLK Ave / 4 St SE
A8,C15,Median Headway (Minutes),14.926315789473684,17.60493827160494,MLK Ave / 4 St SE
A8,C17,Median Headway (Minutes),14.926315789473684,18.037974683544306,MLK Ave / Bellevue
B2,C41,Median Headway (Minutes),10.405797101449275,10.323741007194243,Bladensburg
D2,D96,Median Headway (Minutes),15.106382978723405,24.05084745762712,Massachusetts Ave
D31,C87,Median Headway (Minutes),5.0,45.8,Upper NW
D4,C71,Median Headway (Minutes),24.649122807017545,23.813559322033896,18th St NE
D4,D36,Median Headway (Minutes),24.649122807017545,20.08450704225352,K St / Ivy City
D6,D24,Median Headway (Minutes),19.12162162162162,21.73846153846154,H St / Benning Rd / D St
D6,D94,Median Headway (Minutes),19.12162162162162,22.619047619047617,MacArthur Blvd
